Time/s,Azimuth/deg,Zenith/deg
98401,336.94,48.22
98561,285.67,44.488
98721,237.59,43.155
98881,189.94,44.637
99041,139.85,46.981
99201,87.21,47.81
99361,33.696,45.978
99521,341.5,42.163
99681,292.27,38.738
99841,245.27,38.357
100001,197.11,41.189
100161,146.01,44.701
100321,93.043,46.373
100481,40.332,45.29
100641,349.86,42.418
100801,302.12,40.202
100961,254.72,40.984
101121,204.47,44.6
101281,151.26,48.58
101441,97.072,50.674
101601,44.072,50.257
101761,353.73,48.452
101921,305.65,47.436
102081,257.04,48.889
102241,205.28,52.428
102401,150.76,56.007
102561,95.645,57.809
102721,42.092,57.477
102881,351.26,56.196
103041,302.41,55.845
103201,252.93,57.561
103361,200.53,60.751
103521,145.54,63.66
103681,90.061,64.859
103841,36.231,64.271
104001,345.05,63.163
104161,295.67,63.193
104321,245.65,65.086
104481,192.97,68.017
104641,137.84,70.355
104801,82.286,70.99
104961,28.397,70.138
105121,337.04,69.17
105281,287.27,69.578
105441,236.83,71.745
105601,183.91,74.604
105761,128.71,76.566
105921,73.159,76.79
106081,19.243,75.786
106241,327.69,75.042
106401,277.47,75.906
106561,226.54,78.459
106721,173.32,81.397
106881,118,83.1166
107041,62.394,83.0048
107201,8.3524,81.8666
107361,316.44,81.3165
107521,265.6,82.5787
107681,213.99,85.4835
107841,160.3,88.5061
108001,104.76,89.964367
108161,49.036,89.40752
108321,354.81,87.9273
108481,302.45,87.282
108641,250.86,88.6122
108801,198.38,91.561
108961,144.02,94.4338
109121,88.184,95.4429
109281,32.455,94.211
109441,338.25,92.0667
109601,285.67,90.90932
109761,233.51,91.8226
109921,180.25,94.3215
110081,125.23,96.6437
110241,69.208,96.99
110401,13.802,95.015
110561,320.11,92.1538
110721,267.87,90.36436
110881,215.69,90.65494
111041,162.11,92.4412
111201,106.78,93.9942
111361,50.819,93.6694
111521,355.98,91.206
111681,303.13,88.0077
111841,251.66,85.9511
112001,199.93,85.9087
112161,146.49,87.1855
112321,91.196,88.1202
112481,35.426,87.3154
112641,341.09,84.6893
112801,289.02,81.5993
112961,238.34,79.753
113121,187.15,79.813
113281,133.97,80.9307
113441,78.782,81.4938
113601,23.153,80.3659
113761,329.14,77.716
113921,277.63,74.928
114081,227.56,73.529
114241,176.77,73.91
114401,123.72,75.025
114561,68.569,75.292
114721,12.997,73.829
114881,319.18,71.091
115041,268.08,68.56
115201,218.46,67.597
115361,167.92,68.283
115521,114.93,69.34
115681,59.774,69.211
115841,4.2388,67.261
116001,310.58,64.257
116161,259.85,61.837
116321,210.69,61.222
116481,160.44,62.142
116641,107.57,63.054
116801,52.531,62.403
116961,357.16,59.794
117121,303.78,56.333
117281,253.58,53.917
117441,205.08,53.685
117601,155.32,54.954
117761,102.81,55.831
117921,48.228,54.726
118081,353.47,51.458
118241,300.84,47.505
118401,251.61,45.183
118561,204.02,45.667
118721,154.8,47.739
118881,102.77,49.04
119041,49.072,47.938
119201,355.78,44.466
119361,304.97,40.467
119521,257.26,38.717
119681,210.01,40.43
119841,160.23,43.771
120001,107.91,45.984
120161,54.878,45.534
120321,3.3146,42.747
120481,314.6,39.694
120641,267.61,39.125
120801,218.88,41.932
120961,166.94,46.065
121121,113.18,48.876
121281,59.78,49.109
121441,8.6255,47.341
121601,320.19,45.592
121761,272.37,46.048
121921,221.96,49.136
122081,168.33,53.075
122241,113.33,55.676
122401,59.235,55.996
122561,7.6426,54.764
122721,318.55,53.82
122881,269.77,54.798
123041,218.5,57.74
123201,164.2,61.078
123361,108.67,63.048
123521,54.197,63.029
123681,2.2484,61.897
123841,312.62,61.355
124001,263.2,62.625
124161,211.51,65.414
124321,157,68.206
124481,101.33,69.541
124641,46.764,69.122
124801,354.66,67.997
124961,304.69,67.781
125121,254.82,69.367
125281,202.82,72.158
125441,148.2,74.598
125601,92.519,75.458
125761,37.95,74.755
125921,345.74,73.722
126081,295.41,73.904
126241,245.06,75.912
126401,192.72,78.866
126561,137.96,81.1227
126721,82.234,81.6339
126881,27.603,80.7181
127041,335.16,79.804
127201,284.33,80.3812
127361,233.33,82.817
127521,180.49,85.9754
127681,125.47,88.0902
127841,69.63,88.2188
128001,14.854,86.9657
128161,322.06,85.9665
128321,270.57,86.6824
128481,218.74,89.29385
128641,165.18,92.4652
128801,109.77,94.2885
128961,53.816,93.8418
129121,359.01,91.9603
129281,306,90.48497
129441,253.95,90.87394
129601,201.31,93.174
129761,146.97,95.9351
129921,91.165,97.1898
130081,35.326,96.0152
130241,340.91,93.3669
130401,288.18,91.2115
130561,236.08,90.98322
130721,183.04,92.6182
130881,128.23,94.6349
131041,72.275,95.1659
131201,16.82,93.3817
131361,323.16,90.24625
131521,271.2,87.6941
131681,219.58,87.0609
131841,166.68,88.157
132001,111.84,89.50236
132161,55.977,89.43006
132321,0.94416,87.3203
132481,308.04,84.1406
132641,256.93,81.6895
132801,205.96,81.1169
132961,153.4,82.0595
133121,98.702,83.0205
133281,42.963,82.5457
133441,348.22,80.291
133601,295.86,77.308
133761,245.43,75.258
133921,194.98,75.044
134081,142.67,76.075
134241,88.041,76.807
134401,32.356,75.989
134561,337.77,73.575
134721,285.79,70.777
134881,235.85,69.158
135041,185.76,69.339
135201,133.56,70.456
135361,78.934,70.909
135521,23.261,69.638
135681,328.79,66.911
135841,277.11,64.15
136001,227.61,62.86
136161,177.85,63.359
136321,125.78,64.472
136481,71.214,64.52
136641,15.64,62.629
136801,321.34,59.387
136961,270.05,56.503
137121,221.15,55.497
137281,171.88,56.353
137441,120.13,57.509
137601,65.885,57.168
137761,10.743,54.612
137921,316.98,50.759
138081,266.44,47.719
138241,218.45,47.182
138401,169.87,48.746
138561,118.59,50.327
138721,65.026,49.96
138881,10.993,47.073
139041,318.71,42.905
139201,269.7,40.043
139361,222.64,40.457
139521,174.07,43.276
139681,122.65,45.825
139841,69.617,46.051
140001,17.12,43.619
140161,327.09,40.058
140321,279.73,38.163
140481,232.23,39.803
140641,181.79,43.722
140801,128.82,47.09
140961,75.303,48.043
141121,23.368,46.543
141281,334.23,44.251
141441,286.8,43.624
141601,237.75,45.945
141761,185.29,49.967
141921,130.71,53.278
142081,76.292,54.361
142241,23.952,53.4
142401,334.37,52.018
142561,286.02,52.184
142721,235.89,54.634
142881,182.52,58.191
143041,127.2,60.889
143201,72.253,61.58
143361,19.512,60.654
143521,329.41,59.686
143681,280.35,60.269
143841,229.64,62.709
144001,175.95,65.779
144161,120.41,67.804
144321,65.299,67.981
144481,12.401,66.928
144641,321.98,66.212
144801,272.45,67.14
144961,221.36,69.661
145121,167.5,72.425
145281,111.91,73.934
145441,56.798,73.705
145601,3.8427,72.596
145761,313.17,72.187
145921,263.19,73.545
146081,211.71,76.299
146241,157.67,78.944
146401,102.04,80.1006
146561,46.906,79.578
146721,353.82,78.486
146881,302.76,78.425
147041,252.21,80.2492
147201,200.21,83.3094
147361,145.88,85.9245
147521,90.124,86.7644
147681,34.883,85.9031
147841,341.54,84.7072
148001,289.94,84.8169
148161,238.61,86.9187
148321,185.87,90.1393
148481,131.08,92.6231
148641,75.143,93.0091
148801,19.828,91.5722
148961,326.29,89.932065
149121,274.17,89.79071
149281,222.03,91.7151
149441,168.44,94.683
149601,113.1,96.7348
149761,57.07,96.4655
149921,1.9915,94.256
150081,308.66,91.9065
150241,256.47,91.1612
150401,203.88,92.4872
150561,149.69,94.7803
150721,93.976,96.116
150881,38.111,95.1644
151041,343.66,92.3413
151201,291.06,89.46584
151361,239.35,88.2343
151521,186.89,88.9935
151681,132.59,90.5853
151841,76.844,91.2218
152001,21.286,89.78899
152161,327.54,86.757
152321,275.82,83.8454
152481,224.84,82.5962
152641,172.8,83.1821
152801,118.67,84.3729
152961,63.032,84.5318
153121,7.7257,82.8253
153281,314.49,79.862
153441,263.49,77.27
153601,213.16,76.375
153761,161.48,77.11
153921,107.49,78.136
154081,51.916,77.951
154241,356.75,76.017
154401,303.85,73.154
154561,253.36,70.955
154721,203.49,70.508
154881,152.03,71.457
155041,98.065,72.329
155201,42.49,71.748
155361,347.39,69.469
155521,294.74,66.571
155681,244.68,64.668
155841,195.18,64.6
156001,143.88,65.682
156161,89.957,66.288
156321,34.428,65.156
156481,339.44,62.338
156641,287.06,59.217
156801,237.5,57.503
156961,188.5,57.79
157121,137.5,59.004
157281,83.807,59.315
157441,28.574,57.555
157601,333.96,54.066
157761,282.12,50.606
157921,233.36,49.13
158081,185.1,50.006
158241,134.61,51.645
158401,81.448,51.94
158561,27.036,49.788
158721,333.54,45.805
158881,283.01,42.189
159041,235.43,41.307
159201,187.71,43.304
159361,137.31,45.928
159521,84.585,46.788
159681,31.434,44.917
159841,340.02,41.217
160001,291.59,38.212
160161,244.65,38.451
160321,195.76,41.748
160481,143.91,45.423
160641,90.607,47.087
160801,38.034,46.05
